id,English,Chinese,Pinyin,level_id,level_part
1,Greetings,问好,wèn hǎo,1,1
2,Family,家庭,jiā tíng,1,1
3,Dates and Time,时间,shí jiān,1,1
4,Hobbies,爱好,ài hào,1,1
5,Visiting Friends,看朋友,kàn péng yǒu,1,1
6,Making Appointments,约时间,yuē shí jiān,1,2
7,Studying Chinese,学中文,xué zhōng wén,1,2
8,School Life,学校生活,xué xiào shēng huó,1,2
9,Shopping,买东西,mǎi dōng xi,1,2
10,Transportation,交通,jiāo tōng,1,2
11,Talking about the Weather,谈天气,tán tiān qì,2,1
12,Dining,吃饭,chī fàn,2,1
13,Asking Directions,问路,wèn lù,2,1
14,Birthday Party,生日晚会,shēng rì wǎn huì,2,1
15,Seeing a Doctor,看病,kàn bìng,2,1
16,Dating,约会,yuē huì,2,2
17,Renting an Apartment,租房子,zū fáng zi,2,2
18,Sports,运动,yùn dòng,2,2
19,Travel,旅行,lǚ xíng,2,2
20,At the Airport,在机场,zài jī chǎng,2,2
